25558575, satellitedata, ??, 5.5, 25.55, 85.75, 44.0
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
1/1/2011,00:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,26.8727,?,0,26.0173,?,0,0,?,0,996.447,?,0,172.37648681,?,0,3.16788,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,01:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,26.8011,?,0,26.0116,?,0,0,?,0,996.1,?,0,176.198604641,?,0,3.15169,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,02:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,26.7498,?,0,25.9619,?,0,0,?,0,995.887,?,0,179.979918116,?,0,3.17879,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,03:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,26.6571,?,0,25.9206,?,0,0,?,0,996.179,?,0,182.780532846,?,0,3.26967,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,04:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,26.5816,?,0,25.8812,?,0,0,?,0,996.601,?,0,183.37210816,?,0,3.33924,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,05:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,14.7618,?,0,13.4346,?,0,0,?,0,1004.28,?,0,246.28950663,?,0,1.73704,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,06:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,15.0128,?,0,13.519,?,0,0,?,0,1005.13,?,0,240.702805013,?,0,1.07388,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,07:00,0,0,40.0,?,0,0.0,?,0,40.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,16.2585,?,0,14.0683,?,0,0,?,0,1005.92,?,0,259.4495549,?,0,0.385215,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,08:00,0,0,106.0,?,0,0.0,?,0,106.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,17.904,?,0,14.8033,?,0,0,?,0,1006.78,?,0,335.092456464,?,0,0.299576,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,09:00,0,0,391.0,?,0,225.0,?,0,276.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,19.5735,?,0,15.4964,?,0,0,?,0,1006.77,?,0,337.776089602,?,0,0.557668,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,10:00,0,0,420.0,?,0,170.0,?,0,316.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,20.9037,?,0,15.8049,?,0,0,?,0,1006.29,?,0,328.377770605,?,0,0.958307,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,11:00,0,0,528.0,?,0,292.0,?,0,336.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,22.5298,?,0,16.0534,?,0,0,?,0,1005.06,?,0,319.770765247,?,0,1.28375,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,12:00,0,0,513.0,?,0,283.0,?,0,329.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,23.4926,?,0,15.7247,?,0,0,?,0,1003.99,?,0,316.237489187,?,0,1.49629,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,13:00,0,0,441.0,?,0,221.0,?,0,312.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,23.268,?,0,15.1411,?,0,0,?,0,1003.34,?,0,317.18536513,?,0,1.7186,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,14:00,0,0,156.0,?,0,1.0,?,0,156.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,22.3433,?,0,14.6344,?,0,0,?,0,1003.12,?,0,320.902859674,?,0,2.0915,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,15:00,0,0,85.0,?,0,0.0,?,0,85.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,21.2148,?,0,14.4522,?,0,0,?,0,1002.88,?,0,326.106662143,?,0,2.35078,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,16:00,0,0,26.0,?,0,0.0,?,0,26.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,20.106,?,0,14.6362,?,0,0,?,0,1003.27,?,0,333.659487819,?,0,2.5539,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,17:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,19.5479,?,0,14.6704,?,0,0,?,0,1004.09,?,0,339.964309428,?,0,2.90108,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,18:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,19.1107,?,0,14.592,?,0,0,?,0,1004.78,?,0,343.311657875,?,0,3.20676,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,19:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,18.5987,?,0,14.4631,?,0,0,?,0,1005.1,?,0,344.863181018,?,0,3.41383,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,20:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,17.6775,?,0,14.2204,?,0,0,?,0,1005.49,?,0,345.296734357,?,0,3.43886,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,21:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,16.2429,?,0,13.6882,?,0,0,?,0,1005.53,?,0,345.456239492,?,0,3.43832,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,22:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,14.7271,?,0,13.0112,?,0,0,?,0,1005.24,?,0,346.093218725,?,0,3.41508,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2011,23:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,13.5451,?,0,12.3013,?,0,0,?,0,1004.64,?,0,347.381044021,?,0,3.311,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,00:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,12.4976,?,0,11.6187,?,0,0,?,0,1004.36,?,0,349.022866193,?,0,3.19865,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,01:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,11.5123,?,0,11.0164,?,0,0,?,0,1003.98,?,0,350.878935173,?,0,3.10922,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,02:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,10.6333,?,0,10.4575,?,0,0,?,0,1004.19,?,0,354.463644181,?,0,3.12155,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,03:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,9.83441,?,0,9.86747,?,0,0,?,0,1004.64,?,0,358.245915201,?,0,3.17729,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,04:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,9.12206,?,0,9.26227,?,0,0,?,0,1005.56,?,0,0.611872216171,?,0,3.16002,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,05:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,8.53118,?,0,8.71459,?,0,0,?,0,1006.58,?,0,1.93270199173,?,0,3.03713,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,06:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,8.97775,?,0,8.40642,?,0,0,?,0,1007.42,?,0,2.81811340116,?,0,2.84301,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,07:00,0,0,81.0,?,0,19.0,?,0,78.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,11.4311,?,0,8.49066,?,0,0,?,0,1008.64,?,0,3.43844352442,?,0,2.38358,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,08:00,0,0,140.0,?,0,6.0,?,0,138.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,15.3734,?,0,8.76412,?,0,0,?,0,1009.49,?,0,3.00726773157,?,0,2.06658,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,09:00,0,0,151.0,?,0,0.0,?,0,151.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,19.4713,?,0,6.74284,?,0,0,?,0,1009.8,?,0,353.504737846,?,0,2.3923,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,10:00,0,0,294.0,?,0,31.0,?,0,275.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,21.6452,?,0,6.32403,?,0,0,?,0,1009.0,?,0,348.474901354,?,0,2.31348,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,11:00,0,0,409.0,?,0,108.0,?,0,338.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,22.9348,?,0,6.14246,?,0,0,?,0,1008.12,?,0,346.682392686,?,0,2.25224,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,12:00,0,0,472.0,?,0,202.0,?,0,341.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,23.4613,?,0,5.95887,?,0,0,?,0,1007.29,?,0,346.298638103,?,0,2.20461,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,13:00,0,0,365.0,?,0,108.0,?,0,302.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,23.2917,?,0,5.68229,?,0,0,?,0,1006.84,?,0,344.423304843,?,0,2.1123,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,14:00,0,0,285.0,?,0,74.0,?,0,250.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,22.3262,?,0,5.40032,?,0,0,?,0,1006.3,?,0,344.124420252,?,0,2.10459,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,15:00,0,0,168.0,?,0,57.0,?,0,150.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,20.4583,?,0,6.20185,?,0,0,?,0,1006.34,?,0,346.083950941,?,0,2.13379,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,16:00,0,0,31.0,?,0,0.0,?,0,31.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,17.69,?,0,7.85326,?,0,0,?,0,1006.8,?,0,348.212040939,?,0,2.31316,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,17:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,16.7517,?,0,8.11223,?,0,0,?,0,1007.44,?,0,348.465792985,?,0,2.51087,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,18:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,15.9446,?,0,7.97317,?,0,0,?,0,1008.22,?,0,350.484909164,?,0,2.65968,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,19:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,15.1979,?,0,8.04587,?,0,0,?,0,1008.68,?,0,354.769515437,?,0,2.80044,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,20:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,14.487,?,0,8.13363,?,0,0,?,0,1009.07,?,0,356.094098263,?,0,2.90202,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,21:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,13.8206,?,0,8.1173,?,0,0,?,0,1009.14,?,0,355.304273144,?,0,2.98851,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,22:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,13.1819,?,0,8.01256,?,0,0,?,0,1008.85,?,0,353.688958636,?,0,3.07932,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/2/2011,23:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,12.5478,?,0,7.90582,?,0,0,?,0,1008.46,?,0,350.782050276,?,0,3.16148,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/3/2011,00:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,11.9022,?,0,7.83577,?,0,0,?,0,1008.31,?,0,346.090898526,?,0,3.21137,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/3/2011,01:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,11.2448,?,0,7.79463,?,0,0,?,0,1008.11,?,0,339.867903629,?,0,3.23857,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/3/2011,02:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,10.5781,?,0,7.7181,?,0,0,?,0,1007.88,?,0,333.91136446,?,0,3.21309,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
